date,article_count,mean_sentiment,median_sentiment,sentiment_std,positive_articles,negative_articles,neutral_articles,positive_pct,negative_pct,neutral_pct,sentiment_intensity,open,high,low,close,volume,return,next_day_return,five_day_forward_return
2026-08-20,10,0.15299,0.20205,0.5571256539895945,6,2,2,0.6,0.2,0.2,0.15299,7690.490234375,7699.9599609375,7639.009765625,7641.16015625,4759610000,,0.004346193543703691,0.011756078434179251
2026-08-21,9,0.2075666666666666,0.296,0.5766539885407886,6,3,0,0.6666666666666666,0.3333333333333333,0.0,0.2075666666666666,7665.68017578125,7697.10986328125,7660.06005859375,7674.3701171875,4497270000,0.004346193543703691,-0.0028028689752760405,0.00487201527507275
2026-08-25,10,0.2446,0.51865,0.4469334004574333,7,2,1,0.7,0.2,0.1,0.2446,7676.66015625,7686.10986328125,7650.919921875,7677.27978515625,4260240000,0.003190953749482306,-0.00020574863596922732,-0.005966901245551992
2026-08-27,9,0.5857222222222221,0.5719,0.2623002658108535,8,0,1,0.8888888888888888,0.0,0.1111111111111111,0.5857222222222221,7710.33984375,7741.27001953125,7689.89013671875,7730.990234375,4362240000,0.0072032567265023495,-0.0024874522107780628,0.0021626888736914207
2026-08-28,10,0.26423,0.3723,0.5373776244152917,6,3,1,0.6,0.3,0.1,0.26423,7735.169921875,7771.47998046875,7700.91015625,7711.759765625,4297560000,-0.0024874522107780628,-0.0033221508040809367,0.0008870001451213305
2026-09-01,10,0.1999199999999999,0.4005999999999999,0.6643905758914205,7,3,0,0.7,0.3,0.0,0.1999199999999999,7635.47021484375,7663.6298828125,7611.2001953125,7631.47021484375,4858180000,-0.007112792754561781,0.004603291610071336,0.0006407216826960216
2026-09-03,3,0.3520666666666667,0.34,0.4862123130211053,2,1,0,0.6666666666666666,0.3333333333333333,0.0,0.3520666666666667,7686.7099609375,7756.759765625,7686.7099609375,7747.7099609375,4726400000,0.01057963924661287,-0.0037572216084515997,-0.011710554593059586
2026-09-09,3,0.0435,0.0772,0.7456213985663234,2,1,0,0.6666666666666666,0.3333333333333333,0.0,0.0435,7660.68017578125,7660.68017578125,7624.16015625,7636.35986328125,4896940000,-0.004842647983639425,-0.005848292742657635,-0.011072003703498812
2026-09-11,4,0.0495,0.1193999999999999,0.4639831749823119,2,2,0,0.5,0.5,0.0,0.0495,7636.75,7677.02001953125,7636.75,7656.97998046875,4722480000,0.008598836028398171,-0.004832192338804386,
2026-09-14,2,-0.08995,-0.08995,0.0180312229202569,0,2,0,0.0,1.0,0.0,0.08995,7611.43994140625,7647.990234375,7592.27978515625,7619.97998046875,4963750000,-0.004832192338804386,-0.004494762464965607,
2026-09-15,5,-0.0522799999999999,0.1882,0.4392135778866586,3,2,0,0.6,0.4,0.0,0.0522799999999999,7612.2998046875,7617.259765625,7572.68994140625,7585.72998046875,5154930000,-0.004494762464965607,-0.004471543537976519,
2026-09-16,3,0.6233,0.6705,0.2217009021181465,3,0,0,1.0,0.0,0.0,0.6233,7601.25,7626.7900390625,7507.77001953125,7551.81005859375,5307920000,-0.004471543537976519,,
