date,article_count,mean_sentiment,median_sentiment,sentiment_std,positive_articles,negative_articles,neutral_articles,market_return,next_trading_day_return,five_trading_day_forward_return,positive_share,negative_share,neutral_share,sentiment_intensity,pre_market_sentiment,market_hours_sentiment,after_market_sentiment,non_trading_day_sentiment
2026-08-19,2,0.04205000000000003,0.04205000000000003,1.2744185517325146,1,1,0,,-0.008668915122777232,-0.004187839776185642,0.5,0.5,0.0,0.04205000000000003,0.04205000000000003,,,
2026-08-20,26,0.08212307692307694,0.10235000000000001,0.5247881761683982,14,10,2,-0.008668915122777232,0.004346193543703691,0.011756078434179251,0.5384615384615384,0.38461538461538464,0.07692307692307693,0.08212307692307694,-0.18622857142857144,-0.061599999999999995,0.2929538461538462,
2026-08-21,47,0.05908085106382978,0.2018,0.5863444041495756,26,17,4,0.004346193543703691,-0.0028028689752760405,0.00487201527507275,0.5531914893617021,0.3617021276595745,0.0851063829787234,0.05908085106382978,0.20748571428571427,0.10485833333333332,-0.06601428571428572,
2026-08-24,39,0.09012820512820512,0.2023,0.5922536431865543,22,15,2,-0.0028028689752760405,0.003190953749482306,0.0043487368163084295,0.5641025641025641,0.38461538461538464,0.05128205128205128,0.09012820512820512,-0.0268,0.19640833333333332,-0.11533333333333334,
2026-08-25,94,0.07618723404255319,0.11535000000000001,0.5274487473921998,50,31,13,0.003190953749482306,-0.00020574863596922732,-0.005966901245551992,0.5319148936170213,0.32978723404255317,0.13829787234042554,0.07618723404255319,0.3383,0.1333238095238095,-0.03434375,0.04499795918367347
2026-08-26,43,0.19505581395348837,0.2263,0.46369232784883263,28,11,4,-0.00020574863596922732,0.0072032567265023495,-0.0011855723158399334,0.6511627906976745,0.2558139534883721,0.09302325581395349,0.19505581395348837,0.5748,0.30339285714285713,0.052745833333333346,
2026-08-27,33,0.14872424242424243,0.296,0.5236365694772849,21,11,1,0.0072032567265023495,-0.0024874522107780628,0.0021626888736914207,0.6363636363636364,0.3333333333333333,0.030303030303030304,0.14872424242424243,0.030566666666666686,0.9042,0.14693461538461539,
2026-08-28,53,0.18035471698113206,0.34,0.5348037255228235,31,14,8,-0.0024874522107780628,-0.0033221508040809367,0.0008870001451213305,0.5849056603773585,0.2641509433962264,0.1509433962264151,0.18035471698113206,0.31579999999999997,0.213868,0.13771153846153844,
2026-08-31,43,0.22078604651162792,0.3724,0.5263185232308498,30,10,3,-0.0033221508040809367,-0.007112792754561781,-0.0016419317060341054,0.6976744186046512,0.23255813953488372,0.06976744186046512,0.22078604651162792,,0.1487888888888889,0.272624,
2026-09-01,54,0.1406537037037037,0.23010000000000003,0.5378886448246577,32,18,4,-0.007112792754561781,0.004603291610071336,0.0006407216826960216,0.5925925925925926,0.3333333333333333,0.07407407407407407,0.1406537037037037,0.3182,,,0.13730377358490567
2026-09-02,9,0.18677777777777774,0.483,0.7033126008002732,6,3,0,0.004603291610071336,0.01057963924661287,-0.009769637308544077,0.6666666666666666,0.3333333333333333,0.0,0.18677777777777774,,0.6340333333333333,-0.7077333333333334,
2026-09-04,3,0.3520666666666667,0.34,0.4862123130211053,2,1,0,-0.0037572216084515997,-0.005840447432778451,-0.012776943479355318,0.6666666666666666,0.3333333333333333,0.0,0.3520666666666667,,,0.3520666666666667,
2026-09-08,4,0.435725,0.6911,0.7143622814557518,3,1,0,-0.005840447432778451,-0.004842647983639425,-0.01144064768698716,0.75,0.25,0.0,0.435725,0.29579999999999995,,0.8555,
2026-09-09,4,0.105375,0.0,0.21075000000000002,1,0,3,-0.004842647983639425,-0.005848292742657635,-0.011072003703498812,0.25,0.0,0.75,0.105375,,0.105375,,
2026-09-10,3,0.04350000000000002,0.0772,0.7456213985663234,2,1,0,-0.005848292742657635,0.008598836028398171,0.006067095529001421,0.6666666666666666,0.3333333333333333,0.0,0.04350000000000002,,0.42445000000000005,-0.7184,
2026-09-11,2,0.2267,0.2267,0.4014952303577217,1,1,0,0.008598836028398171,-0.004832192338804386,-0.0008462841074782235,0.5,0.5,0.0,0.2267,0.2267,,,
2026-09-14,4,-0.108825,-0.08995,0.3467917566782694,1,3,0,-0.004832192338804386,-0.004494762464965607,,0.25,0.75,0.0,0.108825,-0.08995,-0.5514,0.296,
2026-09-15,3,0.20820000000000002,0.4705,0.6450697869223143,2,1,0,-0.004494762464965607,-0.004471543537976519,,0.6666666666666666,0.3333333333333333,0.0,0.20820000000000002,-0.5267,,,0.57565
2026-09-16,5,0.18716,0.222,0.44224238037528696,4,1,0,-0.004471543537976519,0.01138133856179846,,0.8,0.2,0.0,0.18716,0.6705,0.2051,-0.07244999999999999,
2026-09-17,2,0.5997,0.5997,0.3081571352410974,2,0,0,0.01138133856179846,0.0016680590599797984,,1.0,0.0,0.0,0.5997,,,0.5997,
2026-09-18,4,-0.0383,0.0129,0.4056954933608867,1,1,2,0.0016680590599797984,,,0.25,0.25,0.5,0.0383,,0.14256666666666665,-0.5809,
